PROBE_ID	ENTREZ_GENE_ID	SYMBOL
ILMN_2078599	54	ACP5
ILMN_2234343	51205	ACP6
ILMN_1706598	92370	ACPL2
ILMN_2306955	92370	ACPL2
ILMN_1758323	55	ACPP
ILMN_1728331	93650	ACPT
ILMN_2351906	93650	ACPT
ILMN_1705637	49	ACR
ILMN_1784203	84519	ACRBP
ILMN_1666690	93953	ACRC
ILMN_1654468	56	ACRV1
ILMN_2320277	56	ACRV1
ILMN_2227011	23205	ACSBG1
ILMN_1730002	81616	ACSBG2
ILMN_3236756	80221	ACSF2
ILMN_1716832	197322	ACSF3
ILMN_1684585	2180	ACSL1
ILMN_2360705	2181	ACSL3
ILMN_1654414	2181	ACSL3
ILMN_1666096	2181	ACSL3
ILMN_2391458	2182	ACSL4
ILMN_2285506	2182	ACSL4
ILMN_1691714	2182	ACSL4
ILMN_1683598	2182	ACSL4
ILMN_2370882	51703	ACSL5
ILMN_2273911	51703	ACSL5
ILMN_1807914	51703	ACSL5
ILMN_1678517	51703	ACSL5
ILMN_1705247	51703	ACSL5
ILMN_1737418	23305	ACSL6
ILMN_2278242	23305	ACSL6
ILMN_1730025	23305	ACSL6
ILMN_2378555	23305	ACSL6
ILMN_1661434	116285	ACSM1
ILMN_1809623	123876	ACSM2A
ILMN_1657592	348158	ACSM2B
ILMN_1765912	348158	ACSM2B
ILMN_1746128	348158	ACSM2B
ILMN_1685952	6296	ACSM3
ILMN_1662738	6296	ACSM3
ILMN_1771084	6296	ACSM3
ILMN_1791923	341392	ACSM4
ILMN_1801698	54988	ACSM5
ILMN_1766966	54988	ACSM5
ILMN_2070792	54988	ACSM5
ILMN_1752269	84532	ACSS1
ILMN_1697510	55902	ACSS2
ILMN_2254962	55902	ACSS2
ILMN_2336595	55902	ACSS2
ILMN_1714197	55902	ACSS2
ILMN_1742859	55902	ACSS2
ILMN_1659885	79611	ACSS3
ILMN_2125869	58	ACTA1
ILMN_1671703	59	ACTA2
ILMN_2152131	60	ACTB
ILMN_1777296	60	ACTB
ILMN_2038777	60	ACTB
ILMN_3246895	345651	ACTBL2
